id,kennel_id,name,address,city,state,zip_code,county,township,license_number,last_status,last_issued_license_year,last_license_class,details_url,created_at,updated_at
564,6107,"R.K. Zimmers Pets, Inc",51 East Philadelphia Ave,,PA,,BERKS,Boyertown,07347,Open,2025,K6: 501 or more dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/6107,2025-12-18 14:58:05,2025-12-18 14:58:05
565,17898,Rahndell Farm,311 Berne Road,,PA,,BERKS,Tilden,18034,Open,2025,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17898,2025-12-18 14:58:05,2025-12-18 14:58:05
566,17897,Rahndell Farms,311 Berne Road,,PA,,BERKS,Tilden,18033,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17897,2025-12-18 14:58:05,2025-12-18 14:58:05
567,2840,Resolute Bulldogs,7552 Stein Road,,PA,,BERKS,Hereford,04099,Closed - Voluntarily,2020,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2840,2025-12-18 14:58:05,2025-12-18 14:58:05
568,7044,Ridgewood Canine Camp,0 E Pointe Dr,,PA,,BERKS,Cumru,08272,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/7044,2025-12-18 14:58:06,2025-12-18 14:58:06
569,286,Ridgewood Shiloh Shepherds,98 Ridgeway Road,,PA,,BERKS,Cumru,01292,Open,2025,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/286,2025-12-18 14:58:06,2025-12-18 14:58:06
570,302,Rocky Acres Kennel,74 Redcay Road,,PA,,BERKS,Brecknock,01308,Closed - Voluntarily,2019,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/302,2025-12-18 14:58:06,2025-12-18 14:58:06
571,3196,Rivermeadows Farm Kennel,709 Berne Road,,PA,,BERKS,Tilden,04513,Closed - Voluntarily,2024,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3196,2025-12-18 14:58:06,2025-12-18 14:58:06
572,303,"Rovin' Hollow Kennels",135 Troxel Road,,PA,,BERKS,Maidencreek,01309,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/303,2025-12-18 14:58:07,2025-12-18 14:58:07
573,17085,Safety Net Sanctuary,187 Houck Road,,PA,,BERKS,Ruscomb Manor,17223,Open,2025,K4: 151-250 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17085,2025-12-18 14:58:07,2025-12-18 14:58:07
